城市,特征,重要性,更新时间
六盘水,小时,0.3819,2026-04-15 13:41:29
六盘水,AQI_lag_2,0.3804,2026-04-15 13:41:29
六盘水,降水量,0.0689,2026-04-15 13:41:29
兰州,湿度,0.6863,2026-04-15 13:41:29
兰州,温度,0.6776,2026-04-15 13:41:29
兰州,风速,0.5365,2026-04-15 13:41:29
兰州,AQI_roll_mean_3,0.4941,2026-04-15 13:41:29
兰州,小时,0.4424,2026-04-15 13:41:29
兰州,AQI_lag_1,0.4333,2026-04-15 13:41:29
兰州,AQI_lag_2,0.3756,2026-04-15 13:41:29
兰州,降水量,0.1007,2026-04-15 13:41:29
兴安盟,湿度,0.7,2026-04-15 13:41:29
兴安盟,温度,0.6794,2026-04-15 13:41:29
兴安盟,风速,0.5358,2026-04-15 13:41:29
兴安盟,降水量,0.4682,2026-04-15 13:41:29
兴安盟,AQI_roll_mean_3,0.4612,2026-04-15 13:41:29
兴安盟,AQI_lag_1,0.4583,2026-04-15 13:41:29
兴安盟,小时,0.4049,2026-04-15 13:41:29
兴安盟,AQI_lag_2,0.3826,2026-04-15 13:41:29
内江,湿度,0.6776,2026-04-15 13:41:29
内江,温度,0.6498,2026-04-15 13:41:29
内江,风速,0.5407,2026-04-15 13:41:29
内江,AQI_roll_mean_3,0.4661,2026-04-15 13:41:29
内江,AQI_lag_1,0.4348,2026-04-15 13:41:29
内江,小时,0.351,2026-04-15 13:41:29
内江,AQI_lag_2,0.343,2026-04-15 13:41:29
内江,工作日,0.0308,2026-04-15 13:41:29
凉山彝族自治州,湿度,0.6249,2026-04-15 13:41:29
凉山彝族自治州,温度,0.6056,2026-04-15 13:41:29
凉山彝族自治州,风速,0.5139,2026-04-15 13:41:29
凉山彝族自治州,AQI_roll_mean_3,0.4125,2026-04-15 13:41:29
凉山彝族自治州,AQI_lag_1,0.3778,2026-04-15 13:41:29
凉山彝族自治州,小时,0.2988,2026-04-15 13:41:29
凉山彝族自治州,AQI_lag_2,0.293,2026-04-15 13:41:29
凉山彝族自治州,气压,0.0354,2026-04-15 13:41:29
包头,湿度,0.6484,2026-04-15 13:41:29
包头,温度,0.6236,2026-04-15 13:41:29
包头,风速,0.5182,2026-04-15 13:41:29
包头,小时,0.4361,2026-04-15 13:41:29
