城市,日期,平均AQI,峰值AQI,污染等级,预警颜色,预警提示
信阳,2026-03-29,59.2,59.2,良,黄色,无预警
信阳,2026-03-30,59.2,59.2,良,黄色,无预警
信阳,2026-03-31,59.2,59.2,良,黄色,无预警
儋州,2026-03-25,69.7,69.8,良,黄色,无预警
儋州,2026-03-26,69.7,69.8,良,黄色,无预警
儋州,2026-03-27,69.7,69.8,良,黄色,无预警
儋州,2026-03-28,69.7,69.8,良,黄色,无预警
儋州,2026-03-29,69.7,69.8,良,黄色,无预警
儋州,2026-03-30,69.7,69.8,良,黄色,无预警
儋州,2026-03-31,69.7,69.8,良,黄色,无预警
克孜勒苏柯尔克孜自治州,2026-03-25,53.1,53.1,良,黄色,无预警
克孜勒苏柯尔克孜自治州,2026-03-26,53.0,53.1,良,黄色,无预警
克孜勒苏柯尔克孜自治州,2026-03-27,53.0,53.1,良,黄色,无预警
克孜勒苏柯尔克孜自治州,2026-03-28,53.0,53.1,良,黄色,无预警
克孜勒苏柯尔克孜自治州,2026-03-29,53.0,53.1,良,黄色,无预警
克孜勒苏柯尔克孜自治州,2026-03-30,53.0,53.1,良,黄色,无预警
克孜勒苏柯尔克孜自治州,2026-03-31,53.0,53.1,良,黄色,无预警
克拉玛依,2026-03-25,47.1,47.2,优,绿色,无预警
克拉玛依,2026-03-26,47.1,47.2,优,绿色,无预警
克拉玛依,2026-03-27,47.1,47.2,优,绿色,无预警
克拉玛依,2026-03-28,47.1,47.2,优,绿色,无预警
克拉玛依,2026-03-29,47.1,47.2,优,绿色,无预警
克拉玛依,2026-03-30,47.1,47.2,优,绿色,无预警
克拉玛依,2026-03-31,47.1,47.2,优,绿色,无预警
六安,2026-03-25,59.3,59.4,良,黄色,无预警
六安,2026-03-26,59.3,59.4,良,黄色,无预警
六安,2026-03-27,59.3,59.4,良,黄色,无预警
六安,2026-03-28,59.3,59.4,良,黄色,无预警
六安,2026-03-29,59.3,59.4,良,黄色,无预警
六安,2026-03-30,59.3,59.4,良,黄色,无预警
六安,2026-03-31,59.3,59.4,良,黄色,无预警
六盘水,2026-03-25,63.4,63.4,良,黄色,无预警
六盘水,2026-03-26,63.4,63.4,良,黄色,无预警
六盘水,2026-03-27,63.4,63.4,良,黄色,无预警
六盘水,2026-03-28,63.4,63.4,良,黄色,无预警
六盘水,2026-03-29,63.4,63.4,良,黄色,无预警
六盘水,2026-03-30,63.4,63.4,良,黄色,无预警
六盘水,2026-03-31,63.4,63.4,良,黄色,无预警
兰州,2026-03-25,55.8,55.9,良,黄色,无预警
兰州,2026-03-26,55.8,55.9,良,黄色,无预警
兰州,2026-03-27,55.8,55.9,良,黄色,无预警
兰州,2026-03-28,55.8,55.9,良,黄色,无预警
兰州,2026-03-29,55.8,55.9,良,黄色,无预警
兰州,2026-03-30,55.8,55.9,良,黄色,无预警
兰州,2026-03-31,55.8,55.9,良,黄色,无预警
兴安盟,2026-03-25,47.8,47.8,优,绿色,无预警
兴安盟,2026-03-26,47.8,47.8,优,绿色,无预警
兴安盟,2026-03-27,47.8,47.8,优,绿色,无预警
兴安盟,2026-03-28,47.8,47.8,优,绿色,无预警
兴安盟,2026-03-29,47.8,47.8,优,绿色,无预警
兴安盟,2026-03-30,47.8,47.8,优,绿色,无预警
兴安盟,2026-03-31,47.8,47.8,优,绿色,无预警
内江,2026-03-25,60.8,60.9,良,黄色,无预警
内江,2026-03-26,60.8,60.9,良,黄色,无预警
内江,2026-03-27,60.8,60.9,良,黄色,无预警
内江,2026-03-28,60.8,60.9,良,黄色,无预警
内江,2026-03-29,60.8,60.9,良,黄色,无预警
内江,2026-03-30,60.8,60.9,良,黄色,无预警
内江,2026-03-31,60.8,60.9,良,黄色,无预警
凉山彝族自治州,2026-03-25,62.3,62.4,良,黄色,无预警
凉山彝族自治州,2026-03-26,62.3,62.4,良,黄色,无预警
凉山彝族自治州,2026-03-27,62.3,62.4,良,黄色,无预警
凉山彝族自治州,2026-03-28,62.3,62.4,良,黄色,无预警
凉山彝族自治州,2026-03-29,62.3,62.4,良,黄色,无预警
凉山彝族自治州,2026-03-30,62.3,62.4,良,黄色,无预警
凉山彝族自治州,2026-03-31,62.3,62.4,良,黄色,无预警
包头,2026-03-25,52.7,52.8,良,黄色,无预警
包头,2026-03-26,52.7,52.8,良,黄色,无预警
包头,2026-03-27,52.7,52.8,良,黄色,无预警
包头,2026-03-28,52.7,52.8,良,黄色,无预警
包头,2026-03-29,52.7,52.8,良,黄色,无预警
包头,2026-03-30,52.7,52.8,良,黄色,无预警
包头,2026-03-31,52.7,52.8,良,黄色,无预警
北京,2026-03-25,52.4,52.5,良,黄色,无预警
北京,2026-03-26,52.4,52.5,良,黄色,无预警
北京,2026-03-27,52.4,52.5,良,黄色,无预警
北京,2026-03-28,52.4,52.5,良,黄色,无预警
北京,2026-03-29,52.4,52.5,良,黄色,无预警
北京,2026-03-30,52.4,52.5,良,黄色,无预警
北京,2026-03-31,52.4,52.5,良,黄色,无预警
北海,2026-03-25,68.8,68.9,良,黄色,无预警
北海,2026-03-26,68.7,68.8,良,黄色,无预警
北海,2026-03-27,68.7,68.8,良,黄色,无预警
北海,2026-03-28,68.7,68.8,良,黄色,无预警
北海,2026-03-29,68.7,68.8,良,黄色,无预警
北海,2026-03-30,68.7,68.8,良,黄色,无预警
北海,2026-03-31,68.7,68.8,良,黄色,无预警
十堰,2026-03-25,58.8,58.9,良,黄色,无预警
十堰,2026-03-26,58.8,58.9,良,黄色,无预警
十堰,2026-03-27,58.8,58.9,良,黄色,无预警
十堰,2026-03-28,58.8,58.9,良,黄色,无预警
十堰,2026-03-29,58.8,58.9,良,黄色,无预警
十堰,2026-03-30,58.8,58.9,良,黄色,无预警
十堰,2026-03-31,58.8,58.9,良,黄色,无预警
南京,2026-03-25,59.1,59.2,良,黄色,无预警
南京,2026-03-26,59.1,59.2,良,黄色,无预警
南京,2026-03-27,59.1,59.2,良,黄色,无预警
南京,2026-03-28,59.1,59.2,良,黄色,无预警
南京,2026-03-29,59.1,59.2,良,黄色,无预警
南京,2026-03-30,59.1,59.2,良,黄色,无预警
南京,2026-03-31,59.1,59.2,良,黄色,无预警
南充,2026-03-25,60.2,60.3,良,黄色,无预警
南充,2026-03-26,60.2,60.3,良,黄色,无预警
南充,2026-03-27,60.2,60.3,良,黄色,无预警
南充,2026-03-28,60.2,60.3,良,黄色,无预警
南充,2026-03-29,60.2,60.3,良,黄色,无预警
南充,2026-03-30,60.2,60.3,良,黄色,无预警
南充,2026-03-31,60.2,60.3,良,黄色,无预警
南宁,2026-03-25,67.1,67.2,良,黄色,无预警
南宁,2026-03-26,67.1,67.2,良,黄色,无预警
南宁,2026-03-27,67.1,67.2,良,黄色,无预警
南宁,2026-03-28,67.1,67.2,良,黄色,无预警
南宁,2026-03-29,67.1,67.2,良,黄色,无预警
南宁,2026-03-30,67.1,67.2,良,黄色,无预警
南宁,2026-03-31,67.1,67.2,良,黄色,无预警
南平,2026-03-25,62.9,63.0,良,黄色,无预警
南平,2026-03-26,62.9,63.0,良,黄色,无预警
南平,2026-03-27,62.9,63.0,良,黄色,无预警
南平,2026-03-28,62.9,63.0,良,黄色,无预警
南平,2026-03-29,62.9,63.0,良,黄色,无预警
南平,2026-03-30,62.9,63.0,良,黄色,无预警
南平,2026-03-31,62.9,63.0,良,黄色,无预警
南昌,2026-03-25,62.5,62.6,良,黄色,无预警
南昌,2026-03-26,62.5,62.5,良,黄色,无预警
南昌,2026-03-27,62.5,62.5,良,黄色,无预警
南昌,2026-03-28,62.5,62.5,良,黄色,无预警
南昌,2026-03-29,62.5,62.5,良,黄色,无预警
